599701_sweeps	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	0.00000	0.97265	0.00000	0.00000	0.00000	0.00000	0.00000	0.00018	0.00000	0.02717
2	0.00000	0.95396	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020	0.00000	0.04583
3	0.00000	0.97134	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.02857
4	0.00000	0.99894	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00106
5	0.00000	0.91272	0.00000	0.00000	0.00000	0.00000	0.00000	0.00064	0.00000	0.08664
6	0.00000	0.92722	0.00000	0.00000	0.00000	0.00000	0.00000	0.00080	0.00000	0.07197
7	0.00000	0.99443	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00557
8	0.00000	0.99531	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00469
9	0.00000	0.98997	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01001
10	0.00000	0.93561	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061	0.00000	0.06378
11	0.00000	0.97210	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016	0.00000	0.02774
12	0.00000	0.98781	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01216
13	0.00000	0.99871	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00129
14	0.00000	0.99332	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.00667
15	0.00000	0.95450	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000	0.04514
16	0.00000	0.99663	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00337
17	0.00000	0.97736	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02253
18	0.00000	0.97552	0.00000	0.00000	0.00000	0.00000	0.00000	0.00010	0.00000	0.02439
19	0.00000	0.96670	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029	0.00000	0.03301
20	0.00000	0.99769	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00231
21	0.00000	0.98867	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01131
