****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 10 threads.
Random seed: 1722617424
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 364x3412
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.075	Loglikelihood: -451798	(delta): 1.14973e+06
2 (EM) 	Elapsed: 0.072	Loglikelihood: -421158	(delta): 30640
3 (EM) 	Elapsed: 0.072	Loglikelihood: -416577	(delta): 4580.59
4 (EM) 	Elapsed: 0.072	Loglikelihood: -413870	(delta): 2707.6
5 (EM) 	Elapsed: 0.072	Loglikelihood: -411644	(delta): 2225.36
Initial loglikelihood: -411644
Starting main algorithm
1 (QN/Block) 	Elapsed: 0.229	Loglikelihood: -324445	(delta): 87199.4
2 (QN/Block) 	Elapsed: 0.23	Loglikelihood: -296850	(delta): 27594.6
3 (QN/Block) 	Elapsed: 0.236	Loglikelihood: -286127	(delta): 10722.9
4 (QN/Block) 	Elapsed: 0.234	Loglikelihood: -281216	(delta): 4911.41
5 (QN/Block) 	Elapsed: 0.234	Loglikelihood: -279687	(delta): 1529.01
6 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -279278	(delta): 409.305
7 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -279192	(delta): 85.5815
8 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -279158	(delta): 33.8642
9 (QN/Block) 	Elapsed: 0.235	Loglikelihood: -279126	(delta): 32.1714
10 (QN/Block) 	Elapsed: 0.236	Loglikelihood: -279093	(delta): 32.8326
11 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -279067	(delta): 26.3004
12 (QN/Block) 	Elapsed: 0.24	Loglikelihood: -279035	(delta): 31.8077
13 (QN/Block) 	Elapsed: 0.239	Loglikelihood: -279020	(delta): 14.6135
14 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -279003	(delta): 17.5945
15 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -278987	(delta): 15.4804
16 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -278977	(delta): 10.3252
17 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -278969	(delta): 7.78464
18 (QN/Block) 	Elapsed: 0.235	Loglikelihood: -278964	(delta): 4.84666
19 (QN/Block) 	Elapsed: 0.241	Loglikelihood: -278958	(delta): 5.97322
20 (QN/Block) 	Elapsed: 0.237	Loglikelihood: -278953	(delta): 5.36865
21 (QN/Block) 	Elapsed: 0.238	Loglikelihood: -278948	(delta): 5.18479
22 (QN/Block) 	Elapsed: 0.234	Loglikelihood: -278945	(delta): 3.02867
23 (QN/Block) 	Elapsed: 0.235	Loglikelihood: -278943	(delta): 1.94248
24 (QN/Block) 	Elapsed: 0.239	Loglikelihood: -278941	(delta): 1.94008
25 (QN/Block) 	Elapsed: 0.239	Loglikelihood: -278939	(delta): 1.54085
26 (QN/Block) 	Elapsed: 0.238	Loglikelihood: -278938	(delta): 1.1203
27 (QN/Block) 	Elapsed: 0.235	Loglikelihood: -278938	(delta): 0.686467
28 (QN/Block) 	Elapsed: 0.238	Loglikelihood: -278937	(delta): 0.600475
